file,description_ca,description_es,description_en
weddings/01_001.jpg,Decoració floral de cadires per a la cerimònia,Decoración floral de sillas para ceremonia,Floral decoration of chairs for ceremony
weddings/01_002.jpg,Decoració amb espelmes,Decoración con velas,Candles decoration
weddings/01_003.jpg,Decoració cerimònia,Decoración ceremonia,Wedding ceremony decorations
weddings/01_004.jpg,Casament temàtic ,Boda temática mexicana,Mexican wedding
weddings/01_005.jpg,Atrezzo,Atrezzo,Atrezzo
weddings/01_006.jpg,Decoració photocall,Decoración photocall,Photocall wedding party
weddings/01_007.jpg,Material per photocall,Material para photocall,Photocall decorations
weddings/01_008.jpg,Photocall per una boda divertida,Un photocall para una boda divertida,Photocall for a fun wedding
weddings/01_009.jpg,Ball nupcial,Baile nupcial,Bridal dance
weddings/02_001.jpg,Cotxe clàssic,Coche clásico,Classic car
weddings/02_002.jpg,Casament a la Cerdanya,Boda en la Cerdaña,Wedding in la Cerdanya
weddings/02_003.jpg,Ram de núvia,Ramo de novia,Bridal bouquet
weddings/02_004.jpg,La núvia a casa,La novia en casa,Bride's house
weddings/02_005.jpg,Marxem de lluna de mel,Nos vamos de luna de miel,We're going honeymoon
weddings/02_006.jpg,Cerimònia civil amb encant,Ceremonia civil con encanto,Beautiful civil ceremony
weddings/02_007.jpg,Si vull!,¡Si quiero!,"Yes, I want"
weddings/02_008.jpg,Aperitiu ,Aperitivo,Aperitif
weddings/02_009.jpg,Visca els nuvis!,¡Viva los novios!,Cheers for the newlyweds
weddings/02_010.jpg,Banquet ,Banquete,Banquet
weddings/02_011.jpg,Decoració floral,Decoración floral,Floral decoration 
weddings/03_001.jpg,Posta de sol a Sitges,Puesta de sol en Sitges,Sunset in Sitges
weddings/03_002.jpg,Còctel a l'aire lliure,Cóctel al aire libre ,Outside cocktail
weddings/03_003.jpg,Photocall,Photocall,Photocall
weddings/03_004.jpg,Cerimònia civil al mig de la pineda,Ceremonia civil en medio de la pineda,Civil ceremony in the middle of the pine
weddings/03_005.jpg,Decoració floral cerimònia,Decoración floral ceremonia,Floral decoration ceremony
weddings/04_001.jpg,Cerimònia a Sant Pere de Vilamajor,Ceremonia a Sant Pere de Vilamajor,Wedding in Sant Pere de Vilamajor
weddings/04_002.jpg,Aperitiu a l'aire lliure,Aperitivo al aire libre,Outside cocktail
weddings/04_003.jpg,Entrada de la núvia,Entrada de la novia ,Bride's entrance
weddings/04_004.jpg,Seating plan,Seating plan,Seating plan
ideas/1.jpg,Mocadors de llàgrimes de felicitat personalitzats,Pañuelos de lagrimas de felicidad personalizados,Handkerchiefs of tears of happiness custom
ideas/2.jpg,Invitacions G&F,Invitaciones G&F,G&F invitation
ideas/3.jpg,Centre de taula,Centro de mesa,Centerpiece
ideas/4.jpg,Decoracions de pots fet a mà,Decoraciones de botes hechos a mano,Handmade decoration
ideas/5.jpg,Detalls per convidades embarassades,Detalles para invitadas embarazadas,Details for pregnant guests
ideas/6.jpg,Espelmes decoratives,Velas decorativas,Decorative candles
ideas/7.jpg,Pots decoratius,Botes decoratius,Decoration 
ideas/8.jpg,Galetes personalitzades,Galletas personalizadas,Custom cookies
ideas/9.jpg,Detalls decoratius,Detalles decorativos,Decorative details
ideas/10.jpg,Color associat al vostre esdeveniment,Color asociado a vuestro evento,Corporative color
corporative/1.jpg,Presentació de producte,Presentación de producto,Product Presentation
corporative/2.jpg,Esdeveniment a un espai creatiu,Evento es un espacio creativo,Creative Meeting and Events Space
corporative/3.jpg,Galeria d'art a Barcelona,Galeria de arte en Barcelona,Art Gallery in Barcelona
corporative/4.jpg,Conferència a Barcelona,Conferencia en Barcelona,Conference in Barcelona
corporative/5.jpg,Galeria d'art a Barcelona,Galeria de arte en Barcelona,Art Gallery in Barcelona
corporative/6.jpg,Galeria d'art a Barcelona,Galeria de arte en Barcelona,Art Gallery in Barcelona
corporative/7.jpg,Galeria d'art a Barcelona,Galeria de arte en Barcelona,Art Gallery in Barcelona
corporative/8.jpg,Show Cooking,Show Cooking,Show Cooking
corporative/9.jpg,Teambuilding,Teambuilding,Teambuilding
corporative/10.jpg,Banda Newtown District ,Banda Newtown District ,Newtown District Band
corporative/11.jpg,Banda Newtown District ,Banda Newtown District ,Newtown District Band
corporative/12.jpg,Banda Newtown District ,Banda Newtown District ,Newtown District Band
corporative/13.jpg,Sortida empresarial,Salida empresarial,Outside
corporative/14.jpg,Sortida empresarial,Salida empresarial,Outside
corporative/15.jpg,Fira a Madrid,Feria en Madrid,Trade fair in Madrid
corporative/16.jpg,Fira a Madrid - Stand,Feria en Madrid - Stand,Trade fair in Madrid Stand
corporative/17.jpg,Fira a Madrid,Feria en Madrid,Trade fair in Madrid
corporative/18.jpg,Fira a Madrid,Feria en Madrid,Trade fair in Madrid
corporative/19.jpg,Congres del medi ambient,Congreso del medio ambiente,Environment congress
